Company,#,Deal Type,Date,Amount,Raised to Date,Pre-Val,Post-Val,Investors,Status,Stage,Source File
Jeeves,13,Secondary Transaction,2022,n.d.,~$639M,~$1.31B,~$1.31B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,1,Series D,Aug-24,$300M,$836M,~$1.31B,~$1.61B,"Google, NVIDIA",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,2,Series C,Aug-23,$155M,$536M,$1.25B,$1.4B,"Amnon Shashua, b2venture, Pitango VC, Samsung NEXT, SCB 10X, Walden Catalyst",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,3,Series C,Nov-21,$64M,$381M,$1.34B,$1.4B,"Amnon Shashua, b2venture, Pitango VC, Samsung NEXT, SCB 10X, Walden Catalyst",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,4,Series B,Jul-21,$100M,$317M,~$1.22B,~$1.32B,Ahren Innovation Capital,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,5,Series A,Oct-20,$38M,$217M,~$762M,~$800M,Pitango VC,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,6,Seed Round,Dec-18,$75M,$179M,~$5M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,7,Seed Round,Sep-18,$104M,$104M,~$416M,~$520M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,8,Seed Round,2017,~$12M,~$12M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
AI21 Labs,9,Secondary Transaction,2023,n.d.,~$393M,~$1.4B,~$1.4B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Amelia,1,Series B,Oct-21,$125M,$303M,$875M,$1B,"BuildGroup, Monroe Capital",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Amelia,2,Series A,Jun-21,$100M,$178M,~$700M,~$800M,"BuildGroup, Monroe Capital",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Amelia,3,Seed Round,2019,$13M,$78M,~$67M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Amelia,4,Seed Round,2018,$65M,$65M,~$15M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Amelia,5,Private Equity,Mar-23,$50M,$353M,~$1.17B,~$1.22B,"BuildGroup, Monroe Capital",Completed,PE,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,1,Series F,Aug-22,$200M,$617M,$1.1B,$1.3B,FJ Labs,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,2,Series E,Dec-21,$250M,$417M,$1B,$1.25B,SoftBank Vision Fund,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,3,Series D,Mar-21,$100M,$167M,~$990M,~$1.09B,"SoftBank Vision Fund 2, Greenoaks Capital, Jackson Square Ventures, Zola Global",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,4,Series D,May-20,$40M,$67M,~$896.6M,~$936.6M,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,5,Series C,Jul-18,$23M,$27M,~$647.5M,~$670.5M,"Greenoaks, Zola Global Investors",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,6,Series B,Jun-17,$4M,$4M,~$546.3M,~$550.3M,Greenoaks,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,7,Series A,2016,~$68.8M,~$104.8M,~$389.8M,~$458.6M,Jackson Square Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,8,Seed Round,2015,~$12M,~$36M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,9,Seed Round,2014,~$12M,~$24M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,10,Seed Round,2013,~$12M,~$12M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,11,Debt - General,Aug-22,$200M,~$921.8M,~$1.3B,~$1.3B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,12,Debt - General,2023,n.d.,~$921.8M,~$1.46B,~$1.46B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,13,Debt - General,2023,n.d.,~$921.8M,~$1.46B,~$1.46B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alto Pharmacy,14,Secondary Transaction,2022,n.d.,~$521.8M,~$1.29B,~$1.29B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,1,Series B,Dec-21,$100M,$196M,$1.4B,$1.5B,n.d.,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,2,Series A,Oct-20,$86M,$96M,~$669.6M,~$755.6M,DILA Capital,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,3,Seed Round,2019,$5.5M,$9.5M,~$74.5M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,4,Seed Round,2018,$4M,$4M,~$76M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,5,Debt - General,2022,$100M,~$295.5M,~$1.61B,~$1.61B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Kushki,6,Secondary Transaction,2022,n.d.,~$295.5M,~$1.61B,~$1.61B,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
CoinDesk,1,Acquisition,Nov-16,$500K,$500K,~$500K,~$500K,n.d.,Completed,Acquisition,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
CoinDesk,2,Seed Round,2014,~$75K,~$150K,~$425K,~$500K,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
CoinDesk,3,Seed Round,2013,~$75K,~$75K,~$425K,~$500K,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
CoinDesk,4,Secondary Transaction,Jan-23,$125M,~$125.7M,~$625M,~$625M,n.d.,Completed,n.d.,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
CoinDesk,5,Buyout,Nov-23,~$75K,~$125.7M,~$425K,$0.5M,n.d.,Completed,Buyout,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,1,Series D,Aug-22,$450M,$665M,$2.7B,$3.15B,BlackRock,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,2,Series C,Apr-21,$450M,$215M,$2.7B,$3.15B,"BlackRock, Baillie Gifford, M12 (Microsoft), Blackbird Ventures, Temasek, Quantum1 Group",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,3,Series B,Dec-19,$215M,$215M,~$2.25B,~$2.47B,Founders Fund,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,4,Series A,Jun-18,~$120M,~$132M,~$680M,~$800M,"Playground Global, Redpoint",Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,5,Seed Round,2016,~$12M,~$12M,~$68M,~$80M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,6,Government Grant,Jul-24,$940M,~$3.27B,~$4.12B,~$4.12B,"Australian Government, Queensland Government",Completed,Grant,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,7,Government Grant,Apr-23,$1.08B,~$2.33B,~$3.46B,~$3.46B,"Australian Government, Queensland Government",Completed,Grant,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
PsiQuantum,8,Debt - General,2022,n.d.,~$797M,~$3.15B,~$3.15B,"Australian Government, Queensland Government",Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,1,Corporate Round,Jun-21,$1B,$1B,~$4B,~$5B,n.d.,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,2,Corporate Round,Mar-21,$1B,$1B,~$4B,~$5B,"Mubadala Investment Company, Abu Dhabi Catalyst Partners",Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,3,ICO,Mar-18,$1.7B,$1.7B,~$6.8B,~$8.5B,n.d.,Completed,ICO,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,4,ICO,Feb-18,$850M,$850M,~$3.4B,~$4.25B,n.d.,Completed,ICO,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,5,Debt - General,Jun-20,$250M,~$3.8B,~$1.25B,~$1.25B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,6,Debt - General,Apr-20,$1B,~$3.55B,~$5B,~$5B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,7,Debt - General,Mar-24,$330M,~$6.13B,~$1.65B,~$1.65B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Telegram,8,Debt - General,2023,n.d.,~$5.8B,~$2.23B,~$2.23B,n.d.,Completed,Debt,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alloy,1,Series C,Oct-21,$100M,$140.4M,$1.25B,$1.35B,Lightspeed Venture Partners,Completed,Late Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alloy,2,Series B,Jan-21,$40M,$40.4M,$265M,$305M,Canapi Ventures,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alloy,3,Series A,Jun-19,~$8M,$350K,~$45.6M,~$53.6M,Bessemer Venture Partners,Completed,Early Stage VC,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alloy,4,Seed Round,Jul-17,$350K,$350K,~$6.2M,~$6.5M,Eniac Ventures,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
Alloy,5,Seed Round,2018,~$2.7M,~$3.1M,~$15.2M,~$17.9M,n.d.,Completed,Seed Round,PitchBook_Deal_History_98_Companies.csv; PitchBook_concatene_all1.csv
